PART_NUMBER,REGIMEN,TypeMaterial,DESCRIPTION_EN,DESCRIPCION_ES,UMC,UMT,HTSMX,HTSMXBASE,HTSMXNICO,IGI_DUTY,PROSEC,R8,DESCRIPCION_R8,RRYNA_NON_DUTY_REQUIREMENTS,REMARKS,NETWEIGHT,IMPORTED_OR_NOT,SENSIBLE,HTS_SerialNo,CLAVESAT,DESCRIPCION_CN,MATERIAL_CN,MATERIAL_EN,FUNCTION_CN,FUNCTION_EN,COMPANY
TBQ381-8,A1,0,Central main vertical beam limit pipe,SOPORTE DE SUJECION PRINCIPAL,PZA,PZA,7326909999,73269099,99,35,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.32,Y,N,0,25181604,,,,,,
30801-01205,IN,KD,Circlip for shaft,CIRCLIP,PZA,KG,7318240300,73182403,0,35,,1931R825050424,PASADOR  ARANDELA DE SEGURIDAD  CHAVETA DE ACERO  PASADOR DE CHAVETA 7318240300,,,0,Y,N,CF SALE MXHTS2025050009,25174800,,,,,,
5HYV-190305-1L00-10,IN,0,4A-4 DECAL, CALCOMANIAS DE PLASTICO,PZA,KG,4908909901,49089099,1,35,0,1931R825050569,ETIQUETA AUTOADHESIVA  CALCOMANIAS DE PLASTICO  CALCOMANIA PARA PUERTA  CALCOMANIAS DECORATIVAS PARA VEHICULOS  ETIQUETAS ADHESIVAS IMPRESA DE PLASTICO   ETIQUETAS ADHESIVAS  DE PLASTICO  ETIQUETA DE DESCRIPCION DE CAPACIDAD DE REMOLQUE  ETIQUETA DE MANIJA  ETIQUETA PLASTICA  CALCOMANIAS DECORATIVAS PARA CARROCERIA  ETIQUETAS ADHESIVAS  DE PLASTICO 4908909901,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.002,Y,N,0,55121600,,,,,,
5SYV-050110-6001A,IN,0,FRONT UPPER SWING ARM ASSY. LH .ASSY,BRAZO OSCILANTE PARA SUSPENSION DELANTERA,PZA,PZA,8708800700,87088007,0,5,Ex. ,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,3.5,Y,N,0,25172000,,,,,,
9DQV-081000-4401,IN,0,HYDRAULIC BRAKE ASSY,MECANISMO DE FRENOS,PZA,PZA,8708309901,87083099,1,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.2,Y,N,0,25171721,,,,,,
5BWV-260211-5001,IN,0,TOP ROOF,TECHO SUPERIOR,PZA,PZA,8708291600,87082916,0,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,6.587,Y,N,0,25181604,,,,,,
5HY0-190004,IN,0,RH INSTRUCTION LABEL SAFETY WARNING,ETIQUETAS ADHESIVAS IMPRESA DE PLASTICO,PZA,KG,4908909901,49089099,1,35,0,1931R825050569,ETIQUETA AUTOADHESIVA  CALCOMANIAS DE PLASTICO  CALCOMANIA PARA PUERTA  CALCOMANIAS DECORATIVAS PARA VEHICULOS  ETIQUETAS ADHESIVAS IMPRESA DE PLASTICO   ETIQUETAS ADHESIVAS  DE PLASTICO  ETIQUETA DE DESCRIPCION DE CAPACIDAD DE REMOLQUE  ETIQUETA DE MANIJA  ETIQUETA PLASTICA  CALCOMANIAS DECORATIVAS PARA CARROCERIA  ETIQUETAS ADHESIVAS  DE PLASTICO 4908909901,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.2,Y,N,0,55121600,,,,,,
5SYV-032030-8000-H1M,IN,KD,Middle top bar left mounting beam assembly.,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,3.939,Y,N,0,25181604,,,,,,
5HY0-030440-10000,IN,0,SUPPORTER SEAT,BASE DE REFUERZO DE ASIENTO,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.587,Y,N,0,25172100,,,,,,
30006-060025810,IN,0,BOLT,TORNILLO DE ACERO DE USO AUTOMOTRIZ,PZA,KG,7318159903,73181599,3,35,,1931R825050575,TORNILLO DE ACERO DE USO AUTOMOTRIZ  PERNOS ROSCADOS DE USO AUTOMOTRIZ  MONTAJE DE LA PLACA DE PROTECCION 7318159903,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.008,Y,N,0,31161502,,,,,,
5HY0-031760-1MP0M,IN,0,HINGE PLATE MOUNTING SEAT,MONTAJE DE BISAGRA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,1.208,Y,N,0,25181604,,,,,,
940010-08214,A1,Equipo,Molded Case Circuit Breaker,DISYUNTOR,PZA,PZA,8536209900,85362099,0,5,Ex. ,,,NO RRNA,0,0.5,Y,N,0,39121600,,,,,,
A000-100002,IN,0,CLIP CLUTCH CABLE,CLIP DE PLASTICO,PZA,KG,3926909999,39269099,99,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.003,Y,N,0,26121800,,,,,,
5SYV-352101-8300,IN,KD,HEATER INTAKE HOSE 1,TUBOS PREFORMADOS PARA REFRIGERANTE,PZA,PZA,8708999999,87089999,99,0,,,,,0,0.125,Y,N,CF SALE MXHTS2025040002,25174800,,,,,,
601401-01073,A1,Equipo,sleeve,UTIL INTERCAMBIABLE,PZA,PZA,8207909900,82079099,0,35,Ex. ,,,,CONFIRM THAT THE BRAND IS NOT VISIBLE,0.05,Y,N,CF SALE MXHTS2025020017,31171502,,,,,,
JXMF-MX-0122,A1,Equipo,elbow,CALCOMANIA,PZA,KG,4908909901,49089099,1,35,0,,,NOM-050-SCFI-2004,,1,Y,N,CF SALE MXHTS2025060034,40141900,,,,,,
9060-040312,IN,0,SEAT PLASTIC CLIP,TAQUETE HEMBRA DE PLASTICO,PZA,KG,3926909906,39269099,6,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.001,Y,N,0,31161500,,,,,,
5KWV-190201-1200-11,IN,KD,CARGO BOX LH SIDE PLATE DECAL,ETIQUETA AUTOADHESIVA,PZA,KG,3919909900,39199099,0,35,,1931R825051346,ETIQUETA AUTOADHESIVA 3919909900 REFLEJANTE AUTOADHESIVO 3919909900 CALCOMANIA 3919909900,,,0.002,Y,N,CF SALE MXHTS2025050007,55121606,,,,,,
5BYV-190414-2400-12,IN,KD,RH REAR SIDE DOOR UPPER DECAL, ETIQUETAS ADHESIVAS IMPRESA DE PLASTICO,PZA,KG,4908909999,49089099,99,35,0,1931R825050530,"CALCOMANIAS DECORATIVAS PARA CARROCERIA  ETIQUETAS ADHESIVAS IMPRESA DE PLASTICO  ETIQUETA DE PLASTICO  PLACA DE ADVERTENCIA , CALCOMANIA 4908909999",,,0.001,Y,N,CF SALE MXHTS2025050007,55121606,,,,,,
601401-00583,A1,Equipo,torque wrench,MATRACA,PZA,PZA,8204110100,82041101,0,15,Ex. ,,,,CONFIRM THAT THE BRAND IS NOT VISIBLE,1.2,Y,N,CF SALE MXHTS2025020017,27111706,,,,,,
940010-08495,A1,Equipo,Servo Driver,CONTROLADOR DE MOTOR,PZA,PZA,8504401300,85044013,0,5,Ex. ,,,NO RRNA,0,0.49,Y,N,0,26101700,,,,,,
940010-08186,A1,Equipo,ET200SP analog input module,CONTROLADOR PROGRAMABLE,PZA,PZA,8537109999,85371099,99,0,,,,NO RRNA,0,0.035,Y,N,0,32151707,,,,,,
940010-08405,A1,Equipo,Gear motor,MOTOR,PZA,PZA,8501529902,85015299,2,0,,,,NOM-016-ENER-2016,Can be imported,67.356,Y,N,0,26101201,,,,,,
5BYV-081000-6002,IN,KD,HYDRAULIC BRAKE ASSY,MECANISMO DE FRENOS DE DISCO,PZA,PZA,8708309901,87083099,1,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,9.82,Y,N,0,25171721,,,,,,
B20251125,A1,Equipo,Argon arc welding gun,PISTOLA PARA SOLDAR,PZA,PZA,8515119900,85151199,0,10,Ex.,,,,,15,Y,N,CF SALE MXHTS2025110029,,Argon arc welding torch,Assembly,Assembly piece,c S Z,Welding,four wheeler
JXMF-MX-0201,A1,HerramietasDeTrabajo,Crimping Pliers,PINZA DE CRIMPADO,PZA,PZA,8203209900,82032099,0,15,Ex. ,,,NOM-050-SCFI-2004,,1,Y,N,CF SALE MXHTS2025070027,25174800,,,,,,
5BYV-031400-6001-H1M,IN,0,Double-row right side frame assembly,MARCO INTERIOR DEL VEHICULO,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.687,Y,N,0,25181604,,,,,,
520090-00702,A1,Embalaje,WHITEBOARD,PIZARRA BLANCA,PZA,PZA,9610000100,96100001,0,15,,,,NOM-050-SCFI-2004,,4.55,Y,N,CF SALE MXHTS2025110032,,cTM1 2,plastic,PLASTIC,e a1 2,RECORD,two wheeler
5HYV-155200-6000-M1,IN,0,SOUND AMPLIFIER,ALTAVOCES,PZA,PZA,8518220299,85182202,99,15,0,1931R825034758,ALTAVOCES 8518220299,,,1.58,Y,N,0,25174800,,,,,,
5HYV-030020-60000,IN,,,SOPORTE,,PZA,8708999999,87089999,99,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0,Y,N,,25171700,,,,,,
940010-08571,A1,Equipo,Burner,QUEMADOR,PZA,PZA,8416209900,84162099,0,10,Ex. ,,,NO RRNA,0,9.8,Y,N,0,25174800,,,,,,
940010-09866,A1,Equipo,Stainless steel wire brush,CEPILLO PARA LIMPIEZA DE SUPERFICIES,PZA,PZA,9603909900,96039099,0,15,Ex.,,,NOM-050-SCFI-2004,,0.2,Y,N,CF SALE MXHTS2025110007,,Stainless Steela a,Stainless Steel,Stainless steel,c a a1 2 a e,Clean the workbench,four wheeler
9DQV-100530-3000,IN,0,STEERING ROD,BARRA DE DIRECCION,PZA,KG,8708941291,87089412,91,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.62,Y,N,0,39122109,,,,,,
5BWV-230200-5001-0BP00,IN,0,REAR CAB ASSY,MONTAJE DE LA CABINA TRASERA,PZA,KG,8708299908,87082999,8,35,Ex. ,,,NO RRNA,0,16.039,Y,N,0,25181604,,,,,,
940010-01884,A1,Equipo,Allen wrench,JUEGO DE 9 LLAVES ALLEN,SET,PZA,8204119900,82041199,0,10,Ex.,,,NOM-050-SCFI-2004,,0.5,Y,N,CF SALE MXHTS2025110007,,a a e 3,steel,Steel,e 3 4a c a,Equipment Maintenance,four wheeler
5ASV-050310-6003A,IN,KD,"FRONT UPPER SWING ARM,RH",BRAZO OSCILANTE PARA SUSPENSION DELANTERA,PZA,PZA,8708800700,87088007,0,5,Ex. ,,,NOM-050-SCFI-2004,,2.98,Y,N,CF SALE MXHTS2025050007,25172000,,,,,,
5HY0-230208-0MP0M,IN,0,Left connection tube at the back of the top bar,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.89,Y,N,0,25181604,,,,,,
Q870-333107,IN,KD,Shaft of short planet gear,PARTE PARA TRANSMISION,PZA,PZA,8708409999,87084099,99,5,3,1931R825050355,PARTE PARA TRANSMISION  SOPORTE DE TRASMISION PARA AJUSTE DE CHICOTE  MONTAJE PARA CAJA DE CAMBIOS  EJE IMPULSOR TRASERO  PALANCA DE VELOCIDADES  BALANCIN DE SELECTOR DE CAMBIOS  CAJA DE ENGRANES 8708409999,,,0.049,Y,N,CF SALE MXHTS2025050009,25174800,,,,,,
JBNY-06710Z-3001,IN,KD,Gearbox left box combination,PARTE DE CAJA DE CAMBIOS,PZA,PZA,8708409999,87084099,99,5,3,1931R825050355,PARTE PARA TRANSMISION  SOPORTE DE TRASMISION PARA AJUSTE DE CHICOTE  MONTAJE PARA CAJA DE CAMBIOS  EJE IMPULSOR TRASERO  PALANCA DE VELOCIDADES  BALANCIN DE SELECTOR DE CAMBIOS  CAJA DE ENGRANES 8708409999,,,2,Y,N,CF SALE MXHTS2025050043,25174800,,,,,,
5HY0-031880-2MP0M,IN,0,RIGHT BEAM ASSEMBLY,ENSAMBLE DE VIGA DERECHA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,1.517,Y,N,0,25181600,,,,,,
9010-020007,IN,,SCREW CLAMP A-TYPE,ABRAZADERA DE ACERO,PZA,PZA,7326909903,73269099,3,35,,1931R825050550,ABRAZADERA DE ACERO CLIP DE FIJACION 7326909903,,,0.0019,Y,N,0,31161500,,,,,,
6AQV-166000-4000,A1,KD,LH HANDLEBAR SWITCH ASSY,CONMUTADOR  AUTOMOTRIZ,PZA,PZA,8536509908,85365099,8,0,,,,NOM-003-SCFI-2014 / NOM-024-SCFI-2013,This item will be imported under CFM's PROSEC,0.176,Y,N,CF SALE MXHTS2025050112,25174800,,,,,,
5ASV-103400-6000,IN,0,BRACKET EPS,SOPORTE DE LA COLUMNA DE DIRECCION,PZA,KG,8708941291,87089412,91,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,1.08,Y,N,0,25181604,,,,,,
5ASV-190302-6T00-12,IN,KD,CARGO BOX RH SIDE PLATE DECAL,CALCOMANIAS DECORATIVAS PARA CARROCERIA,PZA,KG,4908909999,49089099,99,35,0,1931R825050530,"CALCOMANIAS DECORATIVAS PARA CARROCERIA  ETIQUETAS ADHESIVAS IMPRESA DE PLASTICO  ETIQUETA DE PLASTICO  PLACA DE ADVERTENCIA , CALCOMANIA 4908909999",,,0.001,Y,N,CF SALE MXHTS2025050007,25174800,,,,,,
5HY0-031496-1MP0M,IN,0,THE LEFT SUPPORT TUBE OF THE REAR ROCKER VERTICAL BEAM,TUBO DE SOPORTE IZQUIERDO PARA BASCULANTE,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.156,Y,N,0,25181604,,,,,,
5GYV-372103-3500-H1,IN,KD,Left Front Door Rear Market Bracket Assembly,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex.,,,,,0.063,Y,N,CF SALE MXHTS2025120006,25181604,a a e a Za Za a o z c a,Steel,Steel,Welded parts that make up the car door,Welded parts that make up a car door,four wheeler
5HY1-001001-20-Z,A1,HerramietasDeTrabajo,Pick-up fixture for cargo box left and right side panels,DISPOSITIVO DE SUJECION (FIXTURE),PZA,PZA,8479899999,84798999,99,0,,,,,,10.4,Y,N,CF SALE MXHTS2025040014,25174800,,,,,,
9AWA-150880-20000,IN,0,DRL CONTROLLER,MODULO CONTROLADOR DE LUCES,PZA,PZA,8537109999,85371099,99,0,,,,NO RRNA,0,0.23,Y,N,0,39121552,,,,,,
5BWV-190008-5000,IN,0,RH REAR REFLECTIVE FILM,ETIQUETA AUTOADHESIVA,PZA,KG,3919909900,39199099,0,35,,1931R825051346,ETIQUETA AUTOADHESIVA 3919909900 REFLEJANTE AUTOADHESIVO 3919909900 CALCOMANIA 3919909900,NO RRNA,0,0.002,Y,N,0,55121606,,,,,,
601401-00635,A1,Equipo,8-piece A Series flat-head and Phillips screwdriver set,JUEGO DE DESTORNILLADORES EN SU ESTUCHE,SET,PZA,8205409900,82054099,0,15,Ex.,,,NOM-050-SCFI-2004,,4,Y,N,CF SALE MXHTS2025110007,,8a Ac3 a a a a a ezoa 1c a,steel,Steel,e 3 4a c a,Equipment Maintenance,four wheeler
30200-020500,IN,0,NUT M2,TUERCA,PZA,KG,7318160603,73181606,3,35,,1931R825050547,TUERCA 7318160603,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.007,Y,N,0,31161700,,,,,,
940010-08684,A1,Equipo,Pressure transmitters,SENSOR PARA MEDIDOR DE PRESION,PZA,PZA,9026900100,90269001,0,0,,,,NO RRNA,0,0.2,Y,N,0,41111927,,,,,,
5SYV-182550-8000,IN,KD,CONNECTING TUBE 6,MANGUERA,PZA,KG,4009110200,40091102,0,0,,,,,,0.214,Y,N,0,25174800,,,,,,
5BWV-000201-5000,IN,0,CVT AIR INLET PIPE,TUBO DE CAUCHO SIN REFORZAR,PZA,KG,4009110200,40091102,0,0,,,,NO RRNA,0,0.622,Y,N,0,13101600,,,,,,
30006-080035810,IN,0,BOLT M10x1.25x110,TORNILLO DE ACERO DE USO AUTOMOTRIZ,PZA,KG,7318159903,73181599,3,35,,1931R825050575,TORNILLO DE ACERO DE USO AUTOMOTRIZ  PERNOS ROSCADOS DE USO AUTOMOTRIZ  MONTAJE DE LA PLACA DE PROTECCION 7318159903,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.002,Y,N,0,31161500,,,,,,
940010-08242,A1,Equipo,Thermal relays,RELE,PZA,PZA,8536499902,85364999,2,0,,,,NO RRNA,0,0.3,Y,N,0,39122325,,,,,,
5ASV-002002-6000,IN,0,AIR INLET PIPE JOINT CVT,CODO DE CAUCHO,PZA,KG,4016990100,40169901,0,5,Ex. ,,,NO RRNA,0,0.227,Y,N,0,13101600,,,,,,
601601-00976,A1,Equipo,Straight Milling Cutter 12,FRESA,PZA,PZA,8207700399,82077003,99,0,,,,,,0.26,Y,N,0,25174800,,,,,,
5BWV-223014-5000,IN,0,REAR SERVICE COVER,CUBIERTA DE SERVICIO TRASERA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.285,Y,N,0,25181604,,,,,,
601401-00621,A1,Embalaje,12.5MM Series 50MM Long Hex Screwdriver Socket 10MM - Sata 24206,DADOS INTERCAMBIALES,PZA,PZA,8204209900,82042099,0,10,Ex.,,,,,0.079,Y,N,CF SALE MXHTS2025110028,,12 5MMc3 a 50MMe a e a a c 10MM a e3 43 424206,steel,Steel,Assembly and use,For assembly use,two wheeler
Q820-330007-10000,IN,KD,Oil baffle,PARTE DEL EJE,PZA,PZA,7326909999,73269099,99,35,,1931R825050612,CINCHO METALICO  SOPORTE METALICO  TAPA  GANCHO FRONTAL  EMBALAJE DE ACERO  MANUFACTURA DE METAL  SUJETADORES DE ACERO  PLACA DE IDENTIFICACION DEL VEHICULO  BLOQUE DE ACERO  MANUFACTURA DE ACERO  PARTE DEL EMBALAJE  CUBIERTA  GANCHO DE ACERO 7326909999,NOM-050-SCFI-2004,,0.008,Y,N,CF SALE MXHTS2025050009,25174800,,,,,,
5HYV-002012-6001,IN,0,CVT FRONT INTAKE PIPE CONNECTOR,TUBERIA PREFORMADA,PZA,PZA,8708999999,87089999,99,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.184,Y,N,0,31162300,,,,,,
5HYV-102200-6000A,IN,0,MOUNING BRACKET STEERING WHEEL,ENSAMBLE DE MONTAJE DE VOLANTE,PZA,KG,8708299999,87082999,99,35,Ex. ,,,,,0.5,Y,N,0,25174800,,,,,,
YC-016,AF,Equipo,Air duct parts // Piezas de conductos de aire,PIEZA PARA DUCTO DE AIRE,PZA,KG,7308909999,73089099,99,35,Ex. ,,,AUTOMATIC NOTICE,,36,Y,N,0,25174800,,,,,,
5KWV-050410-1000A,IN,0,FRONT LOWER RH SWING ARM ASSY,BRAZO OSCILANTE PARA SUSPENSION,PZA,PZA,8708800700,87088007,0,5,Ex. ,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,3.15,Y,N,0,25172000,,,,,,
5BYV-190401-2400-12,IN,KD,DECAL LH TOP COVER, ETIQUETAS ADHESIVAS IMPRESA DE PLASTICO,PZA,KG,4908909999,49089099,99,35,0,1931R825050530,"CALCOMANIAS DECORATIVAS PARA CARROCERIA  ETIQUETAS ADHESIVAS IMPRESA DE PLASTICO  ETIQUETA DE PLASTICO  PLACA DE ADVERTENCIA , CALCOMANIA 4908909999",,,0.001,Y,N,CF SALE MXHTS2025050007,55121606,,,,,,
940010-08286,A1,Equipo,Tower Light Green,FOCO,PZA,PZA,8539520100,85395201,0,0,,,,NO RRNA,0,0.002,Y,N,0,39101600,,,,,,
5ASV-120001-5000,IN,KD,PRESS STRAP FUEL TANK,PERCHA DEL TANQUE DE COMBUSTIBLE,PZA,PZA,8708990800,87089908,0,5,Ex. ,,,NOM-050-SCFI-2004,,0.6,Y,N,CF SALE MXHTS2025050007,25174800,,,,,,
30121-080020870,IN,0,SCREW M8x20,TORNILLO DE ACERO DE USO AUTOMOTRIZ,PZA,KG,7318159903,73181599,3,35,,1931R825050575,TORNILLO DE ACERO DE USO AUTOMOTRIZ  PERNOS ROSCADOS DE USO AUTOMOTRIZ  MONTAJE DE LA PLACA DE PROTECCION 7318159903,,,0.0011,Y,N,0,31161500,,,,,,
940010-08683,A1,Equipo,"Ecoflam Italian Flange Gas Burner (50,000 kcal)",QUEMADOR,PZA,PZA,8416209900,84162099,0,10,Ex. ,,,NO RRNA,0,9.8,Y,N,0,40101834,,,,,,
5FYV-372111-1000-H1,IN,KD,Left front door connecting pipe 5,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex.,,,,,0.28,Y,N,CF SALE MXHTS2025120006,25181604,Left front door connected to Tube V,Steel,Steel,Welded parts that make up the car door,Welded parts that make up a car door,four wheeler
5HYV-182420-6000,IN,0,ENGINE REMOVAL PIPE,TUBO DE CAUCHO,PZA,KG,4009310602,40093106,2,0,,,,NO RRNA,0,0.127,Y,N,0,31162312,,,,,,
601401-00191,A1,Equipo,plier,PINZAS,PZA,PZA,8203209900,82032099,0,15,Ex. ,,,,CONFIRM THAT THE BRAND IS NOT VISIBLE,0.4,Y,N,CF SALE MXHTS2025020017,25174800,,,,,,
940010-12549,A1,Equipo,UPVC Connectors of different diameters,ACCESORIO PARA TUBERIA DE PVC,PZA,KG,3917400100,39174001,0,0,,,,,,0.2,Y,N,CF SALE MXHTS2025070030,25174800,,,,,,
5BYV-320100-6000,IN,0,GEARSHIFT CABLE,ARNES PARA USO AUTOMOTRIZ,PZA,PZA,8544309901,85443099,1,5,Ex. Excepto: Arneses reconocibles como diseNados exclusivamente para uso automotriz.,1931R825050647,ARNES PARA USO AUTOMOTRIZ ARNES ARNES ELECTRICO ARNES DE CABLES 8544309901,NOM-024-SCFI-2013,Need to label specific NOM-024 shipment mark,0.574,Y,N,0,26121800,,,,,,
5FY0-376008-1000,A1,HerramietasDeTrabajo,Left Rear Door Armrest Decorative Covers,MOLDE DE INYECCION DE PLASTICO,PZA,PZA,8480710399,84807103,99,0,,,,,,1100,Y,N,CF SALE MXHTS2025120008,23151514,a a Ze e e c1 2,S50C,S50C,Mass production of plastic parts using specific molding processes,Mass producing plastic parts through specific molding processes,four wheeler
Q870-333106,IN,KD,Shaft of planetary gear,PARTE PARA TRANSMISION,PZA,PZA,8708409999,87084099,99,5,3,1931R825050355,PARTE PARA TRANSMISION  SOPORTE DE TRASMISION PARA AJUSTE DE CHICOTE  MONTAJE PARA CAJA DE CAMBIOS  EJE IMPULSOR TRASERO  PALANCA DE VELOCIDADES  BALANCIN DE SELECTOR DE CAMBIOS  CAJA DE ENGRANES 8708409999,,,0.128,Y,N,CF SALE MXHTS2025050009,25174800,,,,,,
5ASV-152200-6001,IN,0,SWITCH HOLE COVER,CUBIERTA PARA INTERRUPTOR,PZA,PZA,8538900100,85389001,0,0,,,,NO RRNA,0,0.01,Y,N,0,25181600,,,,,,
5HYV-134000-6001,IN,KD,MIDDEL BACKREST ASSY,RESPALDO DE ASIENTO,PZA,PZA,9401999901,94019999,1,0,,,,NO RRNA,,2.9,Y,N,0,25181600,,,,,,
5HY0-031504-0MP0M,IN,0,LEFT SUPPORT PLATE OF CARGO BOX GIRDER,PLACA DE SOPORTE IZQUIERDA DE LA VIGA DE LA CAJA DE CARGA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.075,Y,N,0,25181604,,,,,,
0NYV-069501-1000,IN,KD,The gearbox is input to the shaft cover,PARTE DE CAJA DE CAMBIOS,PZA,PZA,8708409999,87084099,99,5,3,1931R825050355,PARTE PARA TRANSMISION  SOPORTE DE TRASMISION PARA AJUSTE DE CHICOTE  MONTAJE PARA CAJA DE CAMBIOS  EJE IMPULSOR TRASERO  PALANCA DE VELOCIDADES  BALANCIN DE SELECTOR DE CAMBIOS  CAJA DE ENGRANES 8708409999,,,0.46,Y,N,CF SALE MXHTS2025050043,25174800,,,,,,
TBT053,IN,KD,Front shock absorber connecting square tube,MANUFACTURA DE METAL,PZA,PZA,7326909999,73269099,99,35,,1931R825050612,CINCHO METALICO  SOPORTE METALICO  TAPA  GANCHO FRONTAL  EMBALAJE DE ACERO  MANUFACTURA DE METAL  SUJETADORES DE ACERO  PLACA DE IDENTIFICACION DEL VEHICULO  BLOQUE DE ACERO  MANUFACTURA DE ACERO  PARTE DEL EMBALAJE  CUBIERTA  GANCHO DE ACERO 7326909999,,,0.47,Y,N,CF SALE MXHTS2025050007,25174800,,,,,,
940010-10994,A1,Equipo,Welding gun assembly,PISTOLA PARA SOLDADURA MIG,PZA,PZA,8515909900,85159099,0,0,,,,,,3,Y,N,CF SALE MXHTS2025080045,25174800,,,,,,
9DSV-151000-4000,IN,0,REGULATOR,REGULADOR DE VOLTAJE,PZA,PZA,8511809900,85118099,0,10,Ex. ,,,NOM-024-SCFI-2013,Need to label specific NOM-024 shipment mark,0.65,Y,N,0,39121635,,,,,,
89123400,A1,Equipo,UPVC water pipe (4 meters each),CONECTOR,PZA,PZA,3917230499,39172304,99,0,,,,0,0,1.61,Y,N,0,31163100,,,,,,
JXMF-MX-0164,A1,Equipo,proximity switch,INTERRUPTOR DE PROXIMIDAD,PZA,PZA,8536509901,85365099,1,0,,,,,,0.15,Y,N,CF SALE MXHTS2025060034,39121500,,,,,,
5HY0-031150-0MP0M,IN,0,SEAT CONNECTION ASSEMBLY,ENSAMBLE DE CONEXION DEL COJIN DEL ASIENTO,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.216,Y,N,0,25181600,,,,,,
5BYV-150100-2401,IN,KD,MAIN CABLE,ARNES PARA USO AUTOMOTRIZ,PZA,PZA,8544309901,85443099,1,5,Ex. Excepto: Arneses reconocibles como diseNados exclusivamente para uso automotriz.,1931R825050647,ARNES PARA USO AUTOMOTRIZ ARNES ARNES ELECTRICO ARNES DE CABLES 8544309901,,,0.5369,Y,N,CF SALE MXHTS2025050007,26121800,,,,,,
5HY0-031359-0MP0M,IN,0,DRIVING SEAT CUSHION RUBBER BAFFLE II,PARTE DE LA ESTRUCTURA INTERIOR DEL VEHICULO (ASIENTO CONDUCTOR - BISEL II),PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.158,Y,N,0,25181600,,,,,,
JXMF-MX-0078,A1,HerramietasDeTrabajo,Electrical Tape,CINTA ELECTRICA,PZA,KG,3919100100,39191001,0,0,,,,NOM-050-SCFI-2004,,0.5,Y,N,CF SALE MXHTS2025050154,13121000,,,,,,
JXMF-MX-0144,A1,Equipo,reducing tee DN80x50,CONECTOR,PZA,KG,7307999902,73079999,2,0,,,,,It has a diameter greater than 5 cm and a length equal to or less than 30 cm steel prior permission not applicable,0.8,Y,N,CF SALE MXHTS2025060034,25174800,,,,,,
5HYV-169150-6000,IN,0,ONE-CLICK START SWITCH,INTERRUPTOR AUTOMOTRIZ,PZA,PZA,8536509908,85365099,8,0,,,,NOM-003-SCFI-2014,Can be imported,0.032,Y,N,0,40161505,,,,,,
940010-08599,A1,Equipo,Transversely Movable Half Coupling,ACOPLAMIENTO,PZA,PZA,8483609900,84836099,0,10,Ex. ,,,NO RRNA,0,2.5,Y,N,0,25174800,,,,,,
5HYV-374014-9000-0BM00,IN,KD,Right Front Door Trim,MOLDURA PARA PUERTA,PZA,PZA,8708290400,87082904,0,0,,,,,,0.903,Y,N,CF SALE MXHTS2025060030,25172200,,,,,,
5HYV-081000-6001,IN,0,HYDRAULIC BRAKE ASSY,SISTEMA DE FRENOS,PZA,PZA,8708301000,87083010,0,5,3,1931R825034689,ENSAMBLE DE FRENO HIDRAULICO 8708301000 FRENO HIDRAULICO 8708301000,NO RRNA,0,12.15,Y,N,0,13101600,,,,,,
